Fecha,Product/ Platform,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5,$,Min,$,$ TOTAL,R=1:5,R=1:10,1,3,5,30,35,40,48,Priority
Jul - Sep 2018,Jaguar,ACAMAR,No realiza ciclos- Desajustada ,128205,0,3,4,0,0,0,2,9,70,3,14,10,25,39,4,4,,3,5,,,,48,2688
mayo-julio 2018,Jaguar,Actuador,En corto,"129,704",0,0,0,0,0,0,5,5,39,4,3,12,1,3.97,4,4,0,0,0,0,0,0,240,"15,360"
mayo-julio 2018,Jaguar,Actuador,No se activa,"129,704",0,0,0,0,0,0,4,4,31,4,3.4,12,0.57,3.97,4,4,0,0,0,0,0,0,192,"12,288"
mayo-julio 2018,Jaguar,Actuador,Pegado,"129,704",0,0,0,0,0,0,3,3,23,4,3.4,12,0.57,3.97,4,4,0,0,0,0,0,0,144,"9,216"
mayo-julio 2018,Jaguar,Actuador,Dañado,"129,704",0,5,6,0,0,0,0,11,85,5,3.4,15,0.72,4.12,4,4,0,15,30,0,0,0,0,"3,600"
mayo-julio 2018,Jaguar,Actuador,Suelto,"129,704",0,0,0,0,0,0,1,1,8,1,3.4,12,0.57,3.97,4,4,0,0,0,0,0,0,48,768
mayo-julio 2018,Jaguar,Actuador,Bobina Actuador Trabado,"129,704",0,0,0,0,0,0,1,1,8,1,3.4,12,0.57,3.97,4,4,0,0,0,0,0,0,48,768
mayo-julio 2018,Jaguar,Actuador,Reseco,"129,704",0,0,0,0,0,0,1,1,8,1,3.4,12,0.57,3.97,4,4,0,0,0,0,0,0,48,768
mayo-julio 2018,Jaguar,Actuador,Desajustado,"129,704",0,0,0,0,0,0,1,1,8,1,3.4,12,0.57,3.97,4,4,0,0,0,0,0,0,48,768
oct - dic 2018,,Actuador,abierto,140470,0,0,0,0,0,0,19,19,135,5,,,0,0,5,,0,0,0,0,0,0,912,0
oct - dic 2018,,Actuador,atorado,140470,0,0,0,0,0,0,5,5,36,4,,,0,0,5,,0,0,0,0,0,0,240,0
oct - dic 2018,,Actuador,Dañado / abierto / en corto,140470,0,10,5,1,0,0,4,20,142,5,,,0,0,5,,0,30,25,30,0,0,192,0
oct - dic 2018,,Actuador,mal ensamblado,140470,0,1,4,0,0,0,2,7,50,4,,,0,0,,,0,3,20,0,0,0,96,0
oct - dic 2018,,Actuador,reseco,140470,0,0,0,0,0,0,1,1,7,1,,,0,0,,,0,0,0,0,0,0,48,0
oct - dic 2018,,Actuador,pegado,140470,0,0,0,0,0,0,1,1,7,1,,,0,0,,,0,0,0,0,0,0,48,0
Jul - Sep 2018,Jaguar,Actuador ,Abierto o en corto/ Mal ensamble ,128205,0,6,1,0,0,0,13,20,156,4,3,15,37.5,40.5,4,4,,3,5,,,,48,3584
Jul - Sep 2018,Jaguar,Actuador ,Arnes  deconectado/suelto,128205,0,6,9,0,0,0,3,18,140,4,3,15,37.5,40.5,4,4,,3,5,,,,48,3584
Jul - Sep 2018,Jaguar,Actuador ,Quemado ,128205,0,0,1,0,0,0,2,3,23,1,3,15,37.5,40.5,4,4,,,5,,,,48,848
oct - dic 2018,,Actuador proceso,Quebrado,140470,0,3,3,0,0,0,0,6,43,,,,,,,,,,,,,,,
oct - dic 2018,,Actuador proceso,Conector mal ensamble,140470,0,3,3,0,0,0,0,6,43,,,,,,,,,,,,,,,
oct - dic 2018,,Actuador proceso,Conector dañado,140470,0,1,0,0,0,0,0,1,7,,,,,,,,,,,,,,,
oct - dic 2018,,Actuador proceso,Conector equivocado,140470,0,1,0,0,0,0,0,1,7,,,,,,,,,,,,,,,
