"""Component Code""","""Problem Description""",SQ,"""In Process- NDF""",FPY,CAL,"""SIR 1 MIS""",PPM,"""Component Codes""","""Problem Descriptions""","""Component Problem""",sum,col
TRANSMISIÓN,speed weel ausente,0,0,1,0,0,9,85,169,85169,-2.49E+73,0.512211848
VÁLVULA,conector dañado,0,0,2,0,0,18,92,168,92168,-9.15E+72,0.188432208
BOMBA,conector dañado,0,0,3,0,0,27,24,168,24168,-9.15E+72,0.188432208
Lid metalico,Visagra con mal ensamble,0,0,1,0,0,9,63,167,63167,-3.37E+72,0.069320336
ACU,Valvula 2 corriente 82 / valvula corriente,4,0,0,0,0,36,1,166,1166,-1.24E+72,0.025501526
Support motor,Tuerca mal ensambada,0,1,0,0,0,9,83,165,83165,-4.56E+71,0.009381487
TRANSMISIÓN,Trabada,0,0,0,0,2,18,85,164,85164,-1.68E+71,0.003451256
TRANSMISIÓN,Tornillos extra,0,0,1,0,0,9,85,163,85163,-6.17E+70,0.001269646
Top panel,Tornillo mal ensamblado,0,35,0,0,0,319,89,162,89162,-2.27E+70,0.000467077
REAR PANEL,Tornillo mal ensamblado,0,1,0,0,0,9,79,162,79162,-2.27E+70,0.000467077
Lid metalico,Tornillo mal ensamblado,0,40,3,0,0,392,63,162,63162,-2.27E+70,0.000467077
REAR PANEL,Tornillo equivocado,0,1,0,0,0,9,79,161,79161,-8.34E+69,0.000171828
TINA,Tornillo dentro de unidad,0,2,0,0,0,18,84,160,84160,-3.07E+69,6.32E-05
TRANSMISIÓN,Tornillo barrido,0,1,5,0,0,55,85,159,85159,-1.13E+69,2.33E-05
TRANSMISIÓN,Tornillo barrido,0,2,2,0,0,36,85,159,85159,-1.13E+69,2.33E-05
MOTOR,Tornillo barrido,0,21,56,0,0,701,69,159,69159,-1.13E+69,2.33E-05
Impeller,Tornillo barrido,0,10,2,0,0,109,55,159,55159,-1.13E+69,2.33E-05
Cable poder,Tornillo barrido,0,7,0,0,0,64,34,159,34159,-1.13E+69,2.33E-05
Bracket housing,Tornillo barrido,0,2,0,0,0,18,26,159,26159,-1.13E+69,2.33E-05
Arnes cable de tierra,Tornillo barrido,0,4,47,0,0,465,14,159,14159,-1.13E+69,2.33E-05
Agitador couple,Tornillo barrido,0,61,17,0,0,710,12,159,12159,-1.13E+69,2.33E-05
Agitador couple,Tornillo barrido,0,7,0,0,0,64,12,159,12159,-1.13E+69,2.33E-05
AGITADOR,Tornillo barrido,0,16,4,0,0,182,4,159,4159,-1.13E+69,2.33E-05
VÁLVULA,Tornillo ausente,1,2,4,0,1,73,92,158,92158,-4.15E+68,8.55E-06
Top panel,Tornillo ausente,0,3,2,0,0,46,89,158,89158,-4.15E+68,8.55E-06
Tarjeta Robin,Tornillo ausente,0,2,3,0,0,46,88,158,88158,-4.15E+68,8.55E-06
TRANSMISIÓN,Tornillo ausente,0,5,2,0,0,64,85,158,85158,-4.15E+68,8.55E-06
Rear top,Tornillo ausente,0,6,0,0,0,55,80,158,80158,-4.15E+68,8.55E-06
REAR PANEL,Tornillo ausente,0,8,0,0,0,73,79,158,79158,-4.15E+68,8.55E-06
MOTOR,Tornillo ausente,2,1,5,0,0,73,69,158,69158,-4.15E+68,8.55E-06
Lid metalico,Tornillo ausente,0,1,2,0,0,27,63,158,63158,-4.15E+68,8.55E-06
DISPENSADOR,Tornillo ausente,0,0,2,0,0,18,42,158,42158,-4.15E+68,8.55E-06
Bracket metalico,Tornillo ausente,0,1,0,0,0,9,27,158,27158,-4.15E+68,8.55E-06
Bracket housing,Tornillo ausente,0,0,3,0,0,27,26,158,26158,-4.15E+68,8.55E-06
BOMBA,Tornillo ausente,0,1,1,0,0,18,24,158,24158,-4.15E+68,8.55E-06
Arnes cable de tierra,Tornillo ausente,0,0,1,0,0,9,14,158,14158,-4.15E+68,8.55E-06
AGITADOR,Tornillo ausente,0,4,0,0,0,36,4,158,4158,-4.15E+68,8.55E-06
AGITADOR,Tornillo adicional,0,0,0,0,1,9,4,157,4157,-1.53E+68,3.15E-06
DISPENSADOR,Tono diferente,33,0,0,0,0,301,42,156,42156,-5.62E+67,1.16E-06
Cover hinge assy,Tono diferente,41,0,0,0,0,373,41,156,41156,-5.62E+67,1.16E-06
Cover hinge LH y RH,Tono diferente,551,0,0,0,0,5019,40,156,40156,-5.62E+67,1.16E-06
Tube ring,Tiro corto,0,1,0,0,0,9,90,155,90155,-2.07E+67,4.26E-07
TUB COVER - VERTIC,Tiro corto,2,0,0,0,0,18,87,155,87155,-2.07E+67,4.26E-07
TINA,Tiro corto,0,2,0,0,0,18,84,155,84155,-2.07E+67,4.26E-07
LID LOCK,Tiro corto,4,0,0,0,0,36,61,155,61155,-2.07E+67,4.26E-07
Fascia,Tiro corto,3,1,0,0,0,36,53,155,53155,-2.07E+67,4.26E-07
DISPENSADOR,Tiro corto,1,0,0,0,0,9,42,155,42155,-2.07E+67,4.26E-07
Cover hinge assy,Tiro corto,205,0,0,0,0,1867,41,155,41155,-2.07E+67,4.26E-07
Cover hinge LH y RH,Tiro corto,2,0,0,0,0,18,40,155,40155,-2.07E+67,4.26E-07
Bracket housing,Tiro corto,1,0,0,0,0,9,26,155,26155,-2.07E+67,4.26E-07
