RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM
B,ago - dic 2019,"
LABEL - 10 YEARS WARRANTY
",Mal impresa,"109,784",402,0,0,0,0,402,"3,662"
AA,ago - dic 2019,ACTUATOR - SHIFT,En corto / Falla funcional,"109,784",1,0,2,0,22,25,228
A,ago - dic 2019,ACTUATOR - SHIFT,Dañado / agrietado / golpeado / quebrado,"109,784",2,20,6,0,5,33,301
B,ago - dic 2019,ACTUATOR - SHIFT,Fuera de posición,"109,784",0,2,2,0,2,6,55
B,ago - dic 2019,ACTUATOR - SHIFT,Dañado // No detecta movimiento // sensor,"109,784",2,0,0,0,1,3,27
C,ago - dic 2019,ACTUATOR - SHIFT,Ciclo lento,"109,784",2,0,2,0,0,4,36
C,ago - dic 2019,ACTUATOR - SHIFT,Omision Ausente,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,ACTUATOR - SHIFT,Conector ausente / Omision ensambke,"109,784",2,0,0,0,0,2,18
C,ago - dic 2019,ACTUATOR - SHIFT,Pin elevado,"109,784",1,0,0,0,0,1,9
AA,ago - dic 2019,ACU,LONG DRAIN / Flujo,"109,784",125,0,0,0,30,155,"1,412"
AA,ago - dic 2019,ACU,Falla funcional,"109,784",15,0,152,0,0,167,"1,521"
AA,ago - dic 2019,ACU,Mal programado en línea,"109,784",0,14,56,0,0,70,638
A,ago - dic 2019,ACU,Conector mal ensamblado / sin ensamblar,"109,784",0,2,38,0,0,40,364
A,ago - dic 2019,ACU,No realiza prueba / Falla en prueba,"109,784",55,22,0,0,0,77,701
B,ago - dic 2019,ACU,En corto,"109,784",1,0,0,1,1,3,27
B,ago - dic 2019,ACU,Dañado,"109,784",5,0,0,0,1,2,18
B,ago - dic 2019,ACU,Desajustado,"109,784",0,0,0,0,1,1,9
C,ago - dic 2019,ACU,Marca spin corriente / corriente 0 no realiza spin,"109,784",22,0,0,0,0,22,200
C,ago - dic 2019,ACU,Conector invertido,"109,784",0,0,4,0,0,4,36
C,ago - dic 2019,ACU,No enciende,"109,784",16,0,0,0,0,16,146
C,ago - dic 2019,ACU,No entra cable en data,"109,784",12,0,0,0,0,12,109
C,ago - dic 2019,ACU,Dreno sin terminar ciclo,"109,784",12,0,0,0,0,12,109
C,ago - dic 2019,ACU,Conector quebrado / Conector dañado,"109,784",1,0,2,0,0,3,27
C,ago - dic 2019,ACU,Conector equivocado,"109,784",6,0,0,0,0,6,55
C,ago - dic 2019,ACU,Leds encendidos (dañada),"109,784",6,0,0,0,0,6,55
C,ago - dic 2019,ACU,LED,"109,784",5,0,0,0,0,5,46
C,ago - dic 2019,ACU,Valvula 2 corriente 82 / valvula corriente,"109,784",4,0,0,0,0,4,36
C,ago - dic 2019,ACU,Falla de programación,"109,784",3,0,0,0,0,3,27
C,ago - dic 2019,ACU,Agitacion CWW / falla agitación motor,"109,784",2,0,0,0,0,2,18
