Claim Cost (USD) (United Stated Dollar),Claim Recorded Date,Claim Recorded Month,Claim Recorded Year,Consumer State,Consumer Zip Code,Country of Service,Country of Service-Description,Failure Date,GSIR Base Warranty Flag,GSIR Base Warranty Flag-Description,Global Component Code,Global Component Code-Description,Global Component Group,Global Component Group-Description,Global Component Section,Global Component Section-Description,Global Defect Code,Global Defect Code-Description,Global Defect Section,Global Defect Section-Description,Global Repair Action Code,Global Repair Action Code-Description,Global Symptom Code,Global Symptom Code-Description,Global Symptom Group,Global Symptom Group-Description,Labor Cost (USD) (United Stated Dollar),Months in Service,NAR Kenmore Job Code,NAR Kenmore Job Code-Description,Part Cost (USD) (United Stated Dollar),Parts Replaced Flag,Parts Replaced Quantity,Region Service Component Code,Region Service Component Code-Description,Region Service Condition Code,Region Service Condition Code-Description,Region of Service,Region of Service-Description,Repeat Repair Flag,Repeat Repair Interval,Service Claim Id,Service Claim Type,Service Claim Type-Description,Service Company Number,Service Company Number-Description,Service Company Type,Service Company Type-Description,Service Complete Date,Service Provider Code,Service Provider Code-Description,Service Request Number,Service Responsibility Code,Service Responsibility Code-Description,Stock Repair Flag,Warranty Type Code,Warranty Type Code-Description,Customer Requested Comment,Service Technician Comment,Componente ,Horizon comment,Active SKU Flag,Active SKU Flag-Description,Architecture Code,Architecture Code-Description,Brand,Brand-Description,Unadjusted Total Claim Count,Commercial Segment,Commercial Segment-Description,DPL Platform Code,DPL Platform Code-Description,Division,Division-Description,Electronic Control Flag,Electronic Control Flag-Description,Comment,Engineering Model Number,Engineering Model Number-Description,GSIR Product Flag,GSIR Product Flag-Description,Global Product Category,Global Product Category-Description,Global Product Code,Global Product Code-Description,Global Product Family,Global Product Family-Description,Global Product Group,Global Product Group-Description,Global Product Platform,Global Product Platform-Description,NAR Product Code,NAR Product Code-Description,NAR Product Main Group,NAR Product Main Group-Description,NAR Product Summary Group,NAR Product Summary Group-Description,OEM Supplier,OEM Supplier-Description,Product Id,Production Date,Production Line,Production Line-Description,Production Month,Production Quarter,Production Shift,Production Shift-Description,Production Year,Production Year Week,Purchase Date,Sales Model Number,Sales Model Number-Description,Serial Number,Ship-to Channel,Ship-to Channel-Description,Ship-to High Level,Ship-to High Level-Description,Ship-to State,Shipped Date,Shipped Month,Shipped Year,Shipped-to Country,Shipped-to Country-Description,Shipped-to Region,Shipped-to Region-Description,Sold-to Name,Sold-to Name-Description,,
0.01,2019-12-11,2019/12,2019,JALISCO,44910,MX,Mexico (MX),2019-11-12,y, ,1000,DOOR/LID (1000),DR01,Door/hinges/handle (DR01),DR,DOOR (DR),Ex,Deformed (Ex),?, ,Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,0.01,2,?,(?),0,N,0,253,DOOR/LID (253),3,WARPED/BOWED (03),NAR,North America (NAR),Y,0,1086108335,SC,SERVICE CALL (SC),31122,CENTRO DE SOLUCIONES GUADALAJARA (31122),?,UNKNOWN (?),2019-12-07,?,NOT APPLICABLE (?), ,M,MACHINE MALFUNCTION (M),?,B,BASE WARRANTY (B),OLVEREY HACE RUIDO ANTECEDENTE D1099179256,AGUILRM- P. RUIDO AL FUNCIONAR C. TAPA GOLPEA EN BANDA S. SETERIRO TAPA,Fascia ,Ruido ,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),8,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1995EI2,8MWTW1995EI2 (8MWTW1995EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1995EI:HL92912108,2019-07-06,?,(?),2019/07,2019Q3,?,(?),2019,201929,2019-09-17,8MWTW1995EI,LAV. AUTOMATICA NE (8MWTW1995EI),HL92912108,?,(?),?,(?),GUANAJUATO,2019-07-20,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
0.01,2019-12-28,2019/12,2019,?,66612,?,(?),2019-12-23,y, ,5210,CONTROL BOARD / SENSOR BOARD (5210),CE01,BOARDS (CE01),CE,CONTROLS-ELECTRONICS (CE),Ax,Worn out (or general mechanical defect) (Ax),?, ,A,Changed (A),MEX,Mexico (MEX),?, ,0.01,7,?,(?),0,Y,2,153,MICROCMPU/CPU/ERC (153),6,WORN (06),NAR,North America (NAR),N,0,1086230098,SC,SERVICE CALL (SC),21172,CENTRO DE SOLUCIONES MONTERREY (21172),?,UNKNOWN (?),2019-12-27,?,NOT APPLICABLE (?), ,M,MACHINE MALFUNCTION (M),?,B,BASE WARRANTY (B),MEJIAM3 WEB NO PRENDE //,MARTP53- P. NO LAVA .C. ACTUADOR NO FUNCIONA POR TARJETA NO MANDA VOLTAJE A. SE CAMBIÓ ACTUADOR Y TARJETA,ACU,Borrar,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1809EQ2,8MWTW1809EQ2 (8MWTW1809EQ2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1809EQ:HL91888585,2019-05-06,?,(?),2019/05,2019Q2,?,(?),2019,201918,2019-06-20,8MWTW1809EQ,LAV. AUTOMATICA NE (8MWTW1809EQ),HL91888585,?,(?),?,(?),NUEVO LEON,2019-05-27,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),RM04,(RM04),,
254.44,2019-09-25,2019/09,2019,COAHUILA,25204,MX,Mexico (MX),2019-09-21,y, ,1000,DOOR/LID (1000),DR01,Door/hinges/handle (DR01),DR,DOOR (DR),N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,254.44,2,?,(?),0,N,0,253,DOOR/LID (253),90,EXPN GEN OPER (90),NAR,North America (NAR),N,0,1085575541,SC,SERVICE CALL (SC),47710,47710 (47710),?,UNKNOWN (?),2019-09-23,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),LUGOSL// AL CONECTARLA SE OYE RUIDO PERO NO HACE NADA REP S ILVIA FLORES MUEB ERUS TEL:8443159469,P. AL FUNCIONAR SE OYE UN RUIDO C. CLIENTE LLENA EQUIPO AL MINIMO Y NIVEL ESTA AL MAXIMO S. SE REVISO SE PRO BO SE EXPLICO FUNCIONAMIENTO SE EXPLICO A CLIENTE BAJAR TAPA EQUIPO NO PRSENTA FALLA,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1601EQ1,8MWTW1601EQ1 (8MWTW1601EQ1),?,?,101,Washers (101),11103,"26"" w/ impeller, SS basket, Monterrey (11103)",1020,Vertical Axis Washer w/Impeller (1020),10,Fabric Care (10),1103,Horizon Top Load w/ Impeller (1103),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1601EQ:HL92119204,2019-05-10,?,(?),2019/05,2019Q2,?,(?),2019,201921,2019-08-02,8MWTW1601EQ,8MWTW1601EQ (8MWTW1601EQ),HL92119204,?,(?),?,(?),NUEVO LEON,2019-05-24,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),RM04,(RM04),,
150,2019-10-31,2019/10,2019,JALISCO,47899,MX,Mexico (MX),2019-10-28,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,150,2,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1085827792,SC,SERVICE CALL (SC),47593,47593 (47593),?,UNKNOWN (?),2019-10-30,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),OBSERVACIONES GTE JUAN MANUEL BRAVO BRAVO CEL 3929291740 SUBMIGUEL GONZALEZ GONZALEZ CEL 3921102019 CTE LUIS GERARDO CE RVANTES MA,RGG 30/10 P. NO LAVA C. SE CHECO FUNCIONAMIENTO NO PRESENTA FALLA S. SE DIERON INDICACIONES AL CLIENTE ESTANDO DE ACUERDO,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),3,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1701EQ2,8MWTW1701EQ2 (8MWTW1701EQ2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1701EQ:HL92007029,2019-05-01,?,(?),2019/05,2019Q2,?,(?),2019,201920,2019-09-02,8MWTW1701EQ,LAV. AUTOMATICA NE (8MWTW1701EQ),HL92007029,5100,MX National Chains (,2087861,"ELEKTRA DEL MILENIO,S.A.DE C.V (00020878",JALISCO,2019-05-15,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),2086412,"NUEVA ELEKTRA DEL MILENIO,S.A.DE C. (000",,
0.01,2019-12-19,2019/12,2019,ESTADO DE MÉXICO,50223,MX,Mexico (MX),2019-12-16,y, ,9910,INSTRUCTION FOR USE (9910),II01,INSTRUCTION FOR USE (II01),II,Installation and Instruct (II),N3,INSTRUCTION (N3),?, ,U,Orientation (U),?,Not Available (?),?, ,0.01,3,?,(?),0,N,0,921,GENERAL INSTRUCT (921),90,EXPN GEN OPER (90),NAR,North America (NAR),Y,0,1086164716,SC,SERVICE CALL (SC),73338,73338 (73338),?,UNKNOWN (?),2019-12-17,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B), , ,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),2,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1822EI2,8MWTW1822EI2 (8MWTW1822EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1822EI:HL92344874,2019-06-10,?,(?),2019/06,2019Q2,?,(?),2019,201923,2019-09-22,8MWTW1822EI,LAV. AUTOMATICA NE (8MWTW1822EI),HL92344874,?,(?),?,(?),ESTADO DE MEXICO,2019-06-20,2019/06,2019,MX,Mexico (MX),NAR,North America (NAR),RM07,(RM07),,
207,2019-11-19,2019/11,2019,JALISCO,47600,MX,Mexico (MX),2019-11-07,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),MEX,Mexico (MEX),?, ,207,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1085956172,SC,SERVICE CALL (SC),79004,79004 (79004),?,UNKNOWN (?),2019-11-08,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),CAMPAN _ NO LLENA _ SE REPORTA MISAEL GOMEZ MUEBLERIA RABAGO TEL 3787827788,11/08 FJRS VOLTAJE 119V. P- NO LLENA C- NO PRESENTO FALLA S-SE LE DIO EXPLICACION DE USO Y MANEJO DEL EQUIPO U.T.B.,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW2024MJM0,8MWTW2024MJM0 (8MWTW2024MJM0),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW2024MJM:HL94020332,2019-10-07,?,(?),2019/10,2019Q4,?,(?),2019,201940,2019-10-08,8MWTW2024MJM,8MWTW2024MJM (8MWTW2024MJM),HL94020332,1105,MX Horizontal (1105),2127573,"COMERCIALIZADORA RAPLA, S.A. DE C.V (000",JALISCO,2019-10-08,2019/10,2019,MX,Mexico (MX),NAR,North America (NAR),2127572,"COMERCIALIZADORA RAPLA, S.A. DE C.V (000",,
224,2019-09-20,2019/09,2019,ESTADO DE MÉXICO,51110,MX,Mexico (MX),2019-09-13,y, ,1850,FOOT/SPACER (1850),AS01,Base_Plate (AS01),AS,APPLIANCE STRUCTURE (AS),J1,Set not levelled properly (J1),MEC,MECHANICAL (MEC),Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,224,1,?,(?),0,N,0,213,LEVL LEG/ROLL/CAST (213),80,NOT LEVEL (80),NAR,North America (NAR),N,0,1085543118,SC,SERVICE CALL (SC),73338,73338 (73338),?,UNKNOWN (?),2019-09-17,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),MACHAK1 GOLPETEO EN TINA // REP ROSALBA HERNANDEZ MUEB ELEG ANCIA TEL 7223720286,P_ GOLPETEA LA TINA C_ LAVADORA DESNIVELADA Y RUIDO NORMAL DE FUNCIONAMIENTO CLIENTE LA LLENA MANUALMENTE S_ SE NIVELO LAVADORA SE CHECO LAVADORA SIN FALLA SE DIO DEMOSTRACION DE LLENADO ASISTIDO AL CLIENTE,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1701EQ2,8MWTW1701EQ2 (8MWTW1701EQ2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1701EQ:HL92012308,2019-05-04,?,(?),2019/05,2019Q2,?,(?),2019,201920,2019-08-17,8MWTW1701EQ,LAV. AUTOMATICA NE (8MWTW1701EQ),HL92012308,?,(?),?,(?),GUANAJUATO,2019-05-18,2019/05,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
0.01,2019-09-27,2019/09,2019,?,66646,?,(?),2019-09-11,y, ,7010,"INLET-HOSE, OUTER (7010)",CT08,TUBE/HOSE/CONNECTOR (CT08),CT,CIRCUITS (CT),Cx,Mechanically misaligned (Cx),?, ,Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,0.01,1,?,(?),0,N,0,311,INLET HOSE (311),2,POOR FIT/MISALIGN/MISASSEMBLED (02),NAR,North America (NAR),N,0,1085594003,SC,SERVICE CALL (SC),21172,CENTRO DE SOLUCIONES MONTERREY (21172),?,UNKNOWN (?),2019-09-24,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),CASADJ1 LLENA DE MAS A LO INDICADO FAULT TREE NO EST�? FRENTAL PRODUCTO,MARTP53- P. NO LLENA SE DESBORDA C. MANGUERA DE PRESOSTATO SUELTA S . SE COLOCÓ MANGUERA,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1601EQ1,8MWTW1601EQ1 (8MWTW1601EQ1),?,?,101,Washers (101),11103,"26"" w/ impeller, SS basket, Monterrey (11103)",1020,Vertical Axis Washer w/Impeller (1020),10,Fabric Care (10),1103,Horizon Top Load w/ Impeller (1103),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1601EQ:HL93020048,2019-07-13,?,(?),2019/07,2019Q3,?,(?),2019,201930,2019-08-17,8MWTW1601EQ,8MWTW1601EQ (8MWTW1601EQ),HL93020048,?,(?),?,(?),GUANAJUATO,2019-07-27,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
225,2019-10-26,2019/10,2019,PUEBLA,72850,MX,Mexico (MX),2019-10-21,y, ,8400,IMPROPER CONTROL SETTING (8400),?, ,?, ,N3,INSTRUCTION (N3),?, ,U,Orientation (U),?,Not Available (?),?, ,225,1,?,(?),0,N,0,925,IMPROP CTRL SETTNG (925),91,EXPN CYCLE OPER (91),NAR,North America (NAR),N,0,1085797323,SC,SERVICE CALL (SC),47541,47541 (47541),?,UNKNOWN (?),2019-10-23,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B), , ,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1700CM3,8MWTW1700CM3 (8MWTW1700CM3),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1700CM:HL92915999,2019-07-22,?,(?),2019/07,2019Q3,?,(?),2019,201929,2019-10-18,8MWTW1700CM,LAV. AUTOMATICA NE (8MWTW1700CM),HL92915999,?,(?),?,(?),NUEVO LEON,2019-08-03,2019/08,2019,MX,Mexico (MX),NAR,North America (NAR),RM01,(RM01),,
0.01,2019-08-27,2019/08,2019,JALISCO,44240,MX,Mexico (MX),2019-08-22,y, ,7660,HOSE WASHERS/SCREENS/VALVE SCREENS (7660),?, ,?, ,M1,"Blocked, clogged (M1)",MEC,MECHANICAL (MEC),Y,No Part Replaced (Y),MEX,Mexico (MEX),?, ,0.01,1,?,(?),0,N,0,315,HOSE WASHR/SCREENS (315),11,PLUGGED/BLOCKED (11),NAR,North America (NAR),N,0,1085371515,SC,SERVICE CALL (SC),31122,CENTRO DE SOLUCIONES GUADALAJARA (31122),?,UNKNOWN (?),2019-08-23,?,NOT APPLICABLE (?), ,C,CUSTOMER INSTRUCT (C),?,B,BASE WARRANTY (B),MAGALA2// CICLOS TARDADOS// SE APAGA// RUIDO EXTRA O// NO INICIA// NO ESTA EN EL DOMICILIO PARA REVISAR EQUIPO,COBIA0- P CLIENTE REPORTA QUE LOS CICLOS SON TARDADO Y HACE UN RUIDO C SE TARDA X QUE LOS SEDAZOS ESTABAN TAPADOS Y EL RUIDO ES DE LA V�?LVULA QUE NO ENTRABA AGUA Y LA TIENE CON MUPOCA PRECION DE AGUA S SE LIMPIAN LOS SEDAZOS Y SE ANIVELA Y SE DAN RECOMENDACIONES DE LO QUE NECESITA PARA SU BUEN FUN,,,?,BLANK,?,BLANK,WHR,Whirlpool (WHR),1,VA26,VA 26,VA,Vertical Axis,HL,MONTERREY (HL),?,?,,8MWTW1995EI2,8MWTW1995EI2 (8MWTW1995EI2),?,?,101,Washers (101),11053,"26"" w/ agitator, SS basket, Monterrey (11053)",1001,Vertical Axis - w/ Agitator (1001),10,Fabric Care (10),1102,Horizon Top Load w/ Agitator (1102),730,KAD PROF WASHER (730),10100,Fabric Care (10100),90100,"Washer,Automatic (90100)",N,N (N),8MWTW1995EI:HL92911651,2019-07-06,?,(?),2019/07,2019Q3,?,(?),2019,201929,2019-08-17,8MWTW1995EI,LAV. AUTOMATICA NE (8MWTW1995EI),HL92911651,?,(?),?,(?),GUANAJUATO,2019-07-20,2019/07,2019,MX,Mexico (MX),NAR,North America (NAR),RM06,(RM06),,
