RANK,Part Number,Component Code,Problem Description ,Volume,SQ,In Process,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5 of freq,$,Min,Labor Cost,Total Cost,R=1:5 of cost,R=1:10 severity,1,3,5,30,35,40,48,Priority 
AA,w11385745 / w11385756 / w11385737,ACU,LONG DRAIN / Flujo,109784,125,0,0,0,,,30,155,1411.863295,5,10.97,15,0.9325,11.9025,5,4,125,0,0,0,0,0,1440,156500
AA,W11307231,Inner tray,Rotos,109784,10115,0,0,0,,,0,10115,92135.46601,5,0.31,2,0.124333333,0.434333333,1,3,10115,0,0,0,0,0,0,151725
AA,W11373428,BOLAS DE SUSPENSIÓN,Rotas,109784,0,2,3,0,,9,19,33,300.5902499,5,0.7,30,1.865,2.565,3,4,0,6,15,0,0,360,912,77580
AA,w11385745 / w11385756 / w11385737,ACU,Falla funcional,109784,15,0,152,0,,,0,167,1521.168841,5,10.97,15,0.9325,11.9025,5,4,15,0,760,0,0,0,0,77500
AA,W10815026,ACTUATOR - SHIFT,En corto / Falla funcional,109784,1,0,2,0,,,22,25,227.7198863,5,3,12,0.746,3.746,3,4,1,0,10,0,0,0,1056,64020
AA,W11260197,MANGUERA APS,Doblada,109784,702,0,0,0,,,1,703,6403.483203,5,4.42,5,0.310833333,4.730833333,4,4,702,0,0,0,0,0,48,60000
AA,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,Abierta / flujo continuo,109784,1,0,2,1,,,16,20,182.1759091,5,1.77,15,0.9325,2.7025,3,4,1,0,10,30,0,0,768,48540
AA,"W11296162
W11296163",Mega,Falla funcional / no enciende,109784,4,69,66,0,,,0,139,1266.122568,5,4.17,10,0.621666667,4.791666667,4,4,4,207,330,0,0,0,0,43280
AA,W11084453 / W11226774,VARILLAS DE SUSPENSIÓN,Rotas / Dañadas / Vencidas,109784,1,0,0,0,,,13,14,127.5231363,5,0.7,30,1.865,2.565,3,4,1,0,0,0,0,0,624,37500
AA,"W10677719, W10899834, W10677721",MOTOR,Tornillo barrido / Falta de torque,109784,0,21,56,0,,,0,77,701.3772499,5,16.3,20,1.243333333,17.54333333,5,4,0,63,280,0,0,0,0,34300
AA,OK,Arnes cable de tierra,Tornillos barridos,109784,0,4,47,0,,,0,51,464.5485681,5,1.26,20,1.243333333,2.503333333,3,9,0,12,235,0,0,0,0,33345
AA,w11385745 / w11385756 / w11385737,ACU,Mal programado en línea,109784,0,14,56,0,,,0,70,637.6156817,5,10.97,15,0.9325,11.9025,5,4,0,42,280,0,0,0,0,32200
AA,"w11295686
w11295684",Tarjeta Robin,Falla funcional / no enciende,109784,22,105,38,0,,,0,165,1502.95125,5,2.78,10,0.621666667,3.401666667,3,4,22,315,190,0,0,0,0,31620
AA,"W11307594
W11361786
W11307595
W11361787",Cover hinge assy,Lid baja rápido / Falta de torque,109784,702,0,0,0,,,0,702,6394.374408,5,3.32,3,0.1865,3.5065,3,3,702,0,0,0,0,0,0,31590
AA,W11297195 / w11304407 / w11369163,LID,Ruido,109784,0,0,0,1,,,7,8,72.87036362,5,12.17,3,0.1865,12.3565,5,3,0,0,0,30,0,0,336,27450
AA,W11297195 / w11304407 / w11369163,Lid Plastico,Bisagra mal ensamble,109784,0,120,0,0,,,0,120,1093.055454,5,12.17,3,0.1865,12.3565,5,3,0,360,0,0,0,0,0,27000
A,W10531691 / W10715783,AGITADOR,Suelto / Mal ensamble / Sin ensamblar,109784,0,30,22,1,,,4,57,519.2013408,5,2.99,10,0.621666667,3.611666667,3,4,0,90,110,30,0,0,192,25320
A,W11287268 / W11282699,Top panel,Equivocado,109784,144,81,0,0,,,0,225,2049.478977,5,7.7,30,1.865,9.565,4,3,144,243,0,0,0,0,0,23220
A,W11368879 /  W11281154 ,Fascia,Serigrafía incompleta,109784,40,155,7,0,,,0,202,1839.976681,5,8.79,15,0.9325,9.7225,4,2,40,465,35,0,0,0,0,21600
A,w11101593 / w11101591 / W11161683 / W11161682,ARNES DE VÁLVULA,Desconectado,109784,0,2,2,0,,,10,14,127.5231363,5,1.26,20,1.243333333,2.503333333,3,4,0,6,10,0,0,0,480,29760
A,W10715767,TRANSMISIÓN,Ruidosa,109784,0,0,0,1,,,5,6,54.65277272,5,16.25,30,1.865,18.115,5,3,0,0,0,30,0,0,240,20250
A,W10815026,ACTUATOR - SHIFT,Dañado / agrietado / golpeado / quebrado,109784,2,20,6,0,,,5,33,300.5902499,5,3,12,0.746,3.746,3,4,2,60,30,0,0,0,240,19920
A,w11385745 / w11385756 / w11385737,ACU,Conector mal ensamblado / sin ensamblar,109784,0,2,38,0,,,0,40,364.3518181,5,10.97,15,0.9325,11.9025,5,4,0,6,190,0,0,0,0,19600
A,W11307231,Inner tray,Fuera de especificación / Deformes / Falta pestaña / Mal cortada / Mal troquedala / Incompleta,109784,1273,0,0,0,,,0,1273,11595.49661,5,0.31,2,0.124333333,0.434333333,1,3,1273,0,0,0,0,0,0,19095
A,W10006354,CAM SPLUTCH,Fuera de posición / Mal ensamble,109784,0,4,5,3,,,17,29,264.1550681,5,0.14,5,0.310833333,0.450833333,1,4,0,12,25,90,0,0,816,18860
A,"W11126948
W11126875
W11339251
W11339248",TINA,Fuga,109784,0,40,1,0,,,1,42,382.569409,5,12.72,60,3.73,16.45,5,4,0,120,5,0,0,0,48,17300
A,ok,ARNES DE CAPACITOR,Desconectado,109784,0,3,3,0,,,7,13,118.4143409,5,1.26,20,1.243333333,2.503333333,3,4,0,9,15,0,0,0,336,21600
