RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM,,,,,,,,,,
AA,ago - dic 2019,Inner tray,Quebrado,109784,10115,0,0,0,0,10115,92135,,,,,,,,,,
A,ago - dic 2019,Inner tray,Fuera de especificación,109784,1273,0,0,0,0,1273,11595,,,,,,,,,,
AA,ago - dic 2019,MANGUERA APS,Doblada,109784,702,0,0,0,1,703,6403,,,,,,,,,,
AA,ago - dic 2019,Cover hinge assy,Lid baja rápido / Falta de torque,109784,702,0,0,0,0,702,6394,,,,,,,,,,
A,ago - dic 2019,Inner tray,Despegado,109784,664,0,0,0,0,664,6048,,,,,,,,,,
B,ago - dic 2019,Cover hinge LH y RH,Tono diferente,109784,551,0,0,0,0,551,5019,,,,,,,,,,
B,ago - dic 2019,CAP HINGE,Rayado,109784,535,0,0,0,0,535,4873,,,,,,,,,,
B,ago - dic 2019,LABEL SCALE LEVEL,Equivocado,109784,500,10,0,0,0,510,4645,,,,,,,,,,
B,ago - dic 2019,"LABEL - 10 YEARS WARRANTY",Mal impresa,109784,402,0,0,0,0,402,3662,,,,,,,,,,
B,ago - dic 2019,TUB COVER - VERTIC,Pandeado,109784,372,0,0,0,0,372,3388,,,,,,,,,,
B,ago - dic 2019,Inner tray,Se trozan al doblar,109784,313,0,0,0,0,313,2851,,,,,,,,,,
B,ago - dic 2019,CAP HINGE,Equivocado,109784,242,0,0,0,0,242,2204,,,,,,,,,,
A,ago - dic 2019,Top panel,Equivocado,109784,144,81,0,0,0,225,2049,,,,,,,,,,
A,ago - dic 2019,Cover hinge assy,Tiro corto,109784,205,0,0,0,0,205,1867,,,,,,,,,,
A,ago - dic 2019,Fascia,Serigrafía incompleta,109784,40,155,7,0,0,202,1840,,,,,,,,,,
AA,ago - dic 2019,ACU,Falla funcional,109784,15,0,152,0,0,167,1521,,,,,,,,,,
AA,ago - dic 2019,Tarjeta Robin,Falla funcional,109784,22,105,38,0,0,165,1503,,,,,,,,,,
AA,ago - dic 2019,ACU,LONG DRAIN / Flujo,109784,125,0,0,0,30,155,1412,,,,,,,,,,
AA,ago - dic 2019,Mega,Falla funcional,109784,4,69,66,0,0,139,1266,,,,,,,,,,
AA,ago - dic 2019,Lid Plastico,Bisagra mal ensamble,109784,0,120,0,0,0,120,1093,,,,,,,,,,
A,ago - dic 2019,AGITADOR,Equivocado,109784,24,95,0,0,0,119,1084,,,,,,,,,,
B,ago - dic 2019,Tube ring,Pandeado,109784,0,99,0,0,0,99,902,,,,,,,,,,
B,ago - dic 2019,VÁLVULA,Equivocado,109784,84,0,0,0,0,84,765,,,,,,,,,,
B,ago - dic 2019,Agitador couple,Tornillo barrido,109784,0,61,17,0,0,78,710,,,,,,,,,,
A,ago - dic 2019,ACU,No realiza prueba,109784,55,22,0,0,0,77,701,,,,,,,,,,
AA,ago - dic 2019,MOTOR,Tornillo barrido,109784,0,21,56,0,0,77,701,,,,,,,,,,
AA,ago - dic 2019,ACU,Mal programado en línea,109784,0,14,56,0,0,70,638,,,,,,,,,,
B,ago - dic 2019,Fascia,Overlay con burbuja / grumo,109784,43,13,11,0,0,67,610,,,,,,,,,,
A,ago - dic 2019,AGITADOR,Suelto,109784,0,30,22,1,4,57,519,,,,,,,,,,
AA,ago - dic 2019,Arnes cable de tierra,Tornillo barrido,109784,0,4,47,0,0,51,465,,,,,,,,,,
B,ago - dic 2019,Lid Plastico,Hinge bracket equivocado,109784,0,48,0,0,0,48,437,,,,,,,,,,
C,ago - dic 2019,CAPACITOR,Conector invertido,109784,45,0,0,0,0,45,410,,,,,,,,,,
C,ago - dic 2019,Speed wheel,Pandeado,109784,44,0,0,0,0,44,401,,,,,,,,,,
